ts,humidity,temperature
1761322620.798012,57.422218322753906,21.33631134033203
1761322621.5613346,57.467994689941406,21.33631134033203
1761322622.778129,57.46990203857422,21.32830047607422
1761322623.5729754,57.427940368652344,21.30426788330078
1761322624.6629841,57.45655059814453,21.309608459472656
1761322625.564591,57.452735900878906,21.298927307128906
1761322626.7763276,57.475624084472656,21.33631134033203
1761322627.5569656,57.450828552246094,21.320289611816406
1761322628.564869,57.43366241455078,21.33898162841797
1761322629.7764912,57.429847717285156,21.312278747558594
1761322630.5693417,57.460365295410156,21.309608459472656
1761322631.771542,57.42603302001953,21.32830047607422
1761322632.5666702,57.429847717285156,21.322959899902344
1761322633.6699462,57.41649627685547,21.312278747558594
1761322634.5634623,57.41840362548828,21.32563018798828
1761322635.6732287,57.427940368652344,21.30693817138672
1761322636.5732613,57.406959533691406,21.309608459472656
1761322637.6975408,57.397422790527344,21.312278747558594
1761322638.5648825,57.389793395996094,21.298927307128906
1761322639.6701543,57.406959533691406,21.34699249267578
1761322640.569803,57.406959533691406,21.320289611816406
1761322641.6706126,57.40123748779297,21.31494903564453
